Date,Clicks,Impressions,CTR,Position
2025-09-07,0,1074,0%,44.88
2025-09-06,1,639,0.16%,49.75
2025-09-05,3,1027,0.29%,47.13
2025-09-04,0,762,0%,49.93
2025-09-03,2,631,0.32%,56.46
2025-09-02,1,715,0.14%,51.16
2025-09-01,1,992,0.1%,54.5
2025-08-31,1,958,0.1%,52.92
2025-08-30,0,816,0%,48.67
2025-08-29,1,819,0.12%,51.34
2025-08-28,1,811,0.12%,45.48
2025-08-27,1,775,0.13%,52.4
2025-08-26,4,1174,0.34%,48.56
2025-08-25,0,1108,0%,50.76
2025-08-24,2,969,0.21%,54.41
2025-08-23,2,669,0.3%,54.22
2025-08-22,1,763,0.13%,56.71
2025-08-21,3,892,0.34%,59.12
2025-08-20,1,801,0.12%,59.54
2025-08-19,0,843,0%,57.56
2025-08-18,3,1178,0.25%,56.77
2025-08-17,0,1280,0%,60.08
2025-08-16,0,831,0%,59.38
2025-08-15,0,988,0%,57.28
2025-08-14,2,1363,0.15%,58.4
2025-08-13,0,1457,0%,57.57
2025-08-12,1,2138,0.05%,55.83
2025-08-11,1,2081,0.05%,58.31
2025-08-10,2,2616,0.08%,57.32
2025-08-09,3,1750,0.17%,56.64
2025-08-08,2,1566,0.13%,55.97
2025-08-07,0,1404,0%,57.57
2025-08-06,0,1110,0%,59.05
2025-08-05,0,853,0%,60.26
2025-08-04,1,1088,0.09%,56.69
2025-08-03,1,1047,0.1%,60.41
2025-08-02,0,520,0%,62.51
2025-08-01,0,463,0%,62.15
2025-07-31,6,766,0.78%,59.18
2025-07-30,4,629,0.64%,60.28
2025-07-29,5,704,0.71%,60.24
2025-07-28,1,860,0.12%,56.89
2025-07-27,0,1008,0%,59.43
2025-07-26,0,626,0%,59.27
2025-07-25,0,602,0%,58.86
2025-07-24,1,734,0.14%,59.87
2025-07-23,1,687,0.15%,59.86
2025-07-22,1,670,0.15%,58.04
2025-07-21,1,800,0.12%,61.81
2025-07-20,1,863,0.12%,62.41
2025-07-19,0,583,0%,63.9
2025-07-18,0,554,0%,64.36
2025-07-17,0,610,0%,63.77
2025-07-16,0,640,0%,64.08
2025-07-15,0,764,0%,61.79
2025-07-14,0,784,0%,65.74
2025-07-13,0,644,0%,65.06
2025-07-12,0,593,0%,66.62
2025-07-11,0,498,0%,67.08
2025-07-10,0,604,0%,66.33
2025-07-09,0,507,0%,68.4
2025-07-08,0,445,0%,66.99
2025-07-07,0,637,0%,66.52
2025-07-06,0,632,0%,66.42
2025-07-05,0,444,0%,66.43
2025-07-04,0,471,0%,65.15
2025-07-03,1,460,0.22%,62.4
2025-07-02,0,506,0%,64.87
2025-07-01,0,541,0%,65.48
2025-06-30,0,499,0%,67.95
2025-06-29,0,412,0%,66.73
2025-06-28,0,385,0%,69.06
2025-06-27,0,406,0%,67.98
2025-06-26,0,371,0%,68.41
2025-06-25,0,337,0%,70.14
2025-06-24,0,355,0%,70.52
2025-06-23,0,273,0%,67.65
2025-06-22,0,297,0%,68.44
2025-06-21,0,131,0%,71.11
2025-06-20,0,131,0%,72.09
2025-06-19,0,139,0%,69.35
2025-06-18,1,178,0.56%,72.67
2025-06-17,1,227,0.44%,65.39
2025-06-16,0,180,0%,67.11
2025-06-15,0,241,0%,70.91
2025-06-14,0,163,0%,68.18
2025-06-13,0,213,0%,74.07
2025-06-12,1,226,0.44%,71.47
2025-06-11,0,303,0%,64.49
2025-06-10,0,344,0%,66.86
2025-06-09,0,387,0%,67.23
2025-06-08,2,282,0.71%,65.12
